section,row_key,field,value
project,,slug,MYDAY
project,,display_name,MyDay Brasil
project,,color,#1a73e8
project,,active,true
strategy,,project_type,SaaS
strategy,,core_offer,Scheduling and client management for personal trainers and fitness professionals
strategy,,target_audience,Personal trainers; yoga instructors; fitness professionals
strategy,,audience_problem,Professionals register but struggle to activate due to onboarding friction and client invitation setup
strategy,,transformation_promise,Help fitness professionals start scheduling clients digitally with less admin friction
strategy,,positioning_statement,The simple scheduling and client management platform for fitness professionals
strategy,,primary_business_goal,Increase active professionals in Brazil
strategy,,primary_content_goal,Activation
strategy,,north_star_metric,Active professionals
strategy,,monetization_model,Free entry with product-led adoption
strategy,,traffic_destination,https://www.myday.me/
strategy,,funnel_stage_focus,MOFU/BOFU
strategy,,brand_archetype,Guide
strategy,,strategic_content_pillars,Onboarding education; activation tutorials; professional workflow simplification; social proof
strategy,,authority_angle,Built around real feedback from fitness professionals
strategy,,differentiation_angle,"Made for fitness professionals and focused on scheduling, vouchers and client invitations"
strategy,,growth_strategy,Meta lead generation + onboarding content + direct follow-up
strategy,,publishing_intensity,4-5 posts/week
strategy,,time_horizon,Q2-Q3
strategy,,owner,marketing@myday.me
strategy,,instagram_handle,@myday.me
strategy,,notes,Brazil test focused on São Paulo Brasília and Balneário Camboriú; activation matters more than raw signup volume
brand,,tone,clear and supportive
brand,,voice_style,direct
brand,,audience_level,beginner-to-intermediate
brand,,emotional_intensity,0.45
brand,,humor_level,0.15
brand,,emoji_policy,minimal
brand,,max_emojis_per_caption,2
brand,,banned_claims,Guaranteed income growth; guaranteed client retention; instant business transformation
brand,,banned_words,revolutionary; disrupt; magic
brand,,mandatory_disclaimers,"Results depend on setup, client adoption and real usage."
brand,,cta_style_rules,Lead with action verbs. One clear CTA per post. Prioritize activation over vague awareness.
brand,,storytelling_style,Problem first; practical fix second; product step third
brand,,positioning_statement,The simple scheduling and client management platform for fitness professionals
brand,,differentiation_angle,Practical workflow support for fitness professionals who need to invite clients and manage sessions
brand,,risk_level_default,medium
brand,,manual_review_required,true
brand,,notes,Emphasize that the platform is free and easy to start; avoid overclaiming before mobile app and onboarding improvements
product,,product_name,MyDay
product,,product_category,Fitness scheduling SaaS
product,,product_url,https://www.myday.me/
product,,one_liner,Scheduling and client management for personal trainers and fitness professionals
product,,value_proposition,Help fitness professionals organize clients sessions and vouchers in one place
product,,elevator_pitch,"MyDay helps personal trainers and other fitness professionals manage clients, sessions and scheduling in a more structured way. The current marketing challenge is not just generating leads, but helping new signups become active through better onboarding and client invitation flows."
product,,primary_audience,Personal trainers and other fitness professionals
product,,audience_pain_points,Client setup takes time; inviting clients is slow; some users find onboarding unintuitive; professionals postpone setup; clients may resist changing from WhatsApp or current workflows
product,,audience_desires,Less admin; easier scheduling; easier client management; smoother onboarding; practical tools that fit daily workflow
